pinyin,surname
zhang,张
liu,刘
chen,陈
yang,杨
huang,黄
zhao,赵
wu,吴
zhou,周
wang,王
li,李
kong,孔
sun,孙
gao,高
he,何
ma,马
hu,胡
guo,郭
lin,林
luo,罗
liang,梁
song,宋
tang,唐
deng,邓
cao,曹
hu,彭
tian,田
jin,金
ji,吉
